tenure_height,txs,read_count,read_length,runtime,write_count,write_length
171917,237,14998,13738610,91024253,4258,134863
171916,131,12155,16580970,103940838,3365,117623
171915,237,11692,22124856,123103719,1066,73654
171914,120,14345,15364043,120433398,3461,119822
171913,291,14996,25493725,169730906,1088,77083
171912,121,14935,22257534,533699422,959,118139
171911,218,14725,18348708,227249548,1016,56604
171910,138,14998,17337572,110996678,4088,142057
171909,244,14993,11192024,246082187,1021,58082
171908,304,15000,25383779,209876083,1077,78686
171907,175,14988,25351187,191055265,1061,84352
171906,169,10813,14920767,248675930,976,78022
171905,232,14998,21722239,216132554,818,52556
171904,335,14996,25992600,217020233,1524,88815
171903,475,14999,17762256,405177910,1746,83051
171902,436,15000,15186664,98433501,1969,64072
171901,455,14999,10320386,101607252,2226,50976
171900,526,14998,9150133,77366692,2290,48791
171899,278,14990,20754760,232530061,958,73498
171898,235,14997,27856767,251291034,893,81249
171897,120,14998,22345115,379208518,801,103063
171896,147,14994,25235787,503981430,1278,154007
171895,142,14997,18558143,244559620,564,47420
171894,134,15000,15789270,275245071,527,51041
171893,184,14968,20700065,377565477,1023,119091
171892,72,14994,27986495,103258072,530,43135
171891,146,14595,21804237,369188483,1069,106586
171890,125,14982,21944510,376681392,705,76586
171889,232,14998,31495149,837444744,1633,248728
171888,151,14999,29840876,640724022,1327,199371
171887,153,14997,32151285,461376258,1021,138979
171886,96,14999,16634950,330122299,617,66801
171885,223,14853,33085042,233964676,1052,120628
171884,111,14998,23368420,130579252,3912,132586
171883,25,10953,13124481,56692494,3722,116889
171882,108,11590,19996654,137274459,606,53041
171881,39,14973,6545795,400878058,436,58158
171880,104,14999,19659845,464972124,4322,211413
171879,133,14986,25927211,143349336,868,79038
171878,184,25917,37060606,445070506,1371,156515
171877,108,14997,11055179,403546506,607,81651
171876,81,28971,38899220,245004965,5891,238965
171875,69,10514,21062966,145208623,731,94288
171874,78,14990,20704479,135022722,519,47324
171873,66,14984,19798188,189017641,3060,138353
171872,46,14984,4919221,147781011,10327,430836
171871,95,14949,15793421,147488524,6590,290115
171870,86,14968,16101060,173369339,6699,303087
171869,147,14994,32051852,522368148,931,106309
171868,154,14999,25691063,241467663,4839,246556
171867,111,14961,32000221,252759918,931,104546
171866,140,14975,24752031,264492059,964,102842
171865,63,14998,17408250,130238671,276,66657
171864,94,14956,14903001,145415525,953,113553
171863,125,14999,32128727,325033769,1301,128566
171862,11,14021,66318,113540196,14000,574000
171861,90,14993,22175859,135338583,2103,103496
171860,59,14998,25298352,120331369,732,63619
171859,110,14923,18280041,215717945,1068,67564
171858,177,15000,27926136,168707091,854,71840
171857,118,15000,23944321,96461603,457,31831
171856,268,14509,30437875,109837686,1138,84190
