block,tenure_height,txs,read_count,read_length,runtime,write_count,write_length
174376,171917,1,0,0,0,0,0
174375,171917,1,0,0,0,0,0
174374,171917,2,0,0,0,0,0
174373,171917,1,0,0,0,0,0
174372,171917,1,0,0,0,0,0
174371,171917,1,0,0,0,0,0
174370,171917,1,0,0,0,0,0
174369,171917,1,0,0,0,0,0
174368,171917,1,0,0,0,0,0
174367,171917,1,0,0,0,0,0
174366,171917,1,0,0,0,0,0
174365,171917,1,0,0,0,0,0
174364,171917,2,0,0,0,0,0
174363,171917,1,0,0,0,0,0
174362,171917,1,0,0,0,0,0
174361,171917,1,0,0,0,0,0
174360,171917,1,0,0,0,0,0
174359,171917,1,0,0,0,0,0
174358,171917,1,0,0,0,0,0
174357,171917,1,0,0,0,0,0
174356,171917,1,0,0,0,0,0
174355,171917,1,0,0,0,0,0
174354,171917,1,0,0,0,0,0
174353,171917,1,0,0,0,0,0
174352,171917,1,0,0,0,0,0
174351,171917,2,0,0,0,0,0
174350,171917,1,0,0,0,0,0
174349,171917,1,0,0,0,0,0
174348,171917,1,0,0,0,0,0
174347,171917,1,0,0,0,0,0
174346,171917,1,0,0,0,0,0
174345,171917,1,0,0,0,0,0
174344,171917,1,0,0,0,0,0
174343,171917,1,0,0,0,0,0
174342,171917,1,0,0,0,0,0
174341,171917,1,0,0,0,0,0
174340,171917,1,0,0,0,0,0
174339,171917,1,0,0,0,0,0
174338,171917,1,0,0,0,0,0
174337,171917,1,0,0,0,0,0
174336,171917,1,0,0,0,0,0
174335,171917,1,0,0,0,0,0
174334,171917,1,0,0,0,0,0
174333,171917,2,0,0,0,0,0
174332,171917,1,0,0,0,0,0
174331,171917,1,0,0,0,0,0
174330,171917,1,0,0,0,0,0
174329,171917,1,0,0,0,0,0
174328,171917,1,0,0,0,0,0
174327,171917,1,0,0,0,0,0
174326,171917,1,0,0,0,0,0
174325,171917,1,0,0,0,0,0
174324,171917,1,0,0,0,0,0
174323,171917,1,0,0,0,0,0
174322,171917,1,0,0,0,0,0
174321,171917,1,0,0,0,0,0
174320,171917,1,0,0,0,0,0
174319,171917,2,0,0,0,0,0
174318,171917,1,5,5347,36386,1,107
174317,171917,1,0,0,0,0,0
174316,171917,1,0,0,0,0,0
174315,171917,2,13,41073,134893,1,107
174314,171917,1,0,0,0,0,0
174313,171917,1,6,16194,48365,1,125
174312,171917,1,45,84983,594734,7,537
174311,171917,1,16,17113,143237,3,124
174310,171917,1,19,11166,76652,7,105
174309,171917,1,8,9566,66735,2,20
174308,171917,4,115,288867,484557,15,398
174307,171917,130,3894,6172560,24455576,525,25366
174306,171917,10,369,679606,3221474,51,2755
174305,171917,17,10508,6412135,61761644,3645,105219
174304,171917,2,0,0,0,0,0
174303,171916,7,73,86009,445565,12,567
174302,171916,4,14,13825,33701,5,84
174301,171916,2,94,171077,510997,8,747
174300,171916,3,122,242978,1157704,19,657
174299,171916,2,145,307427,1188862,12,1187
174298,171916,3,14,10776,37642,4,102
174297,171916,3,51,97517,613205,8,526
174296,171916,3,96,179863,515173,8,707
174295,171916,3,145,247358,3945245,11,890
174294,171916,2,40,20795,143011,13,144
174293,171916,2,42,26003,233095,8,185
174292,171916,6,39,39197,147129,11,374
174291,171916,3,139,245485,839264,11,871
174290,171916,2,116,249498,1419812,15,1172
174289,171916,3,73,98881,690276,12,624
174288,171916,4,22,41052,122575,7,359
174287,171916,1,33,58605,186594,8,392
174286,171916,4,251,500678,2366080,25,2135
174285,171916,2,5,2268,5456,2,1
174284,171916,1,42,77026,479775,7,537
174283,171916,1,9,11557,28245,3,83
174282,171916,1,0,0,0,0,0
174281,171916,4,68,43431,326727,18,373
174280,171916,2,33,20556,210489,5,102
174279,171916,3,278,447971,24954063,20,806
174278,171916,1,9,5447,22606,3,83
174277,171916,4,21,30589,60687,5,85
174276,171916,2,28,16224,7045621,7,581
174275,171916,7,436,973723,3496914,51,3493
174274,171916,44,9717,12315154,52714325,3047,99756
174273,171916,2,0,0,0,0,0
174272,171915,235,11692,22124856,123103719,1066,73654
174271,171915,2,0,0,0,0,0
174270,171914,118,14345,15364043,120433398,3461,119822
174269,171914,2,0,0,0,0,0
174268,171913,1,0,0,0,0,0
174267,171913,2,0,0,0,0,0
174266,171913,1,0,0,0,0,0
174265,171913,1,0,0,0,0,0
174264,171913,1,0,0,0,0,0
174263,171913,1,0,0,0,0,0
174262,171913,1,0,0,0,0,0
174261,171913,1,0,0,0,0,0
174260,171913,1,0,0,0,0,0
174259,171913,1,0,0,0,0,0
174258,171913,1,0,0,0,0,0
174257,171913,1,0,0,0,0,0
174256,171913,1,0,0,0,0,0
174255,171913,1,0,0,0,0,0
174254,171913,1,0,0,0,0,0
174253,171913,1,0,0,0,0,0
174252,171913,2,0,0,0,0,0
174251,171913,1,0,0,0,0,0
174250,171913,1,0,0,0,0,0
174249,171913,1,0,0,0,0,0
174248,171913,1,0,0,0,0,0
174247,171913,1,0,0,0,0,0
174246,171913,1,0,0,0,0,0
174245,171913,3,10,10694,72772,2,214
174244,171913,2,0,0,0,0,0
174243,171913,1,0,0,0,0,0
174242,171913,3,0,0,0,0,0
174241,171913,1,0,0,0,0,0
174240,171913,1,0,0,0,0,0
174239,171913,4,0,0,0,0,0
174238,171913,1,0,0,0,0,0
174237,171913,1,5,5347,36386,1,107
174236,171913,1,0,0,0,0,0
174235,171913,1,0,0,0,0,0
174234,171913,2,5,5347,36386,1,107
174233,171913,3,5,5347,36386,1,107
174232,171913,2,0,0,0,0,0
174231,171913,1,0,0,0,0,0
174230,171913,2,0,0,0,0,0
174229,171913,1,5,5347,36386,1,107
174228,171913,3,21,252349,322532,4,388
174227,171913,1,0,0,0,0,0
174226,171913,2,187,226530,688063,12,163
174225,171913,2,33,31581,83966,4,55
174224,171913,5,1289,206533,21690543,23,886
174223,171913,3,43,31250,283261,7,316
174222,171913,3,33,20556,210489,5,102
174221,171913,2,33,20556,210489,5,102
174220,171913,3,246,424008,1415051,22,1483
174219,171913,5,76,51806,493750,12,418
174218,171913,11,300,373155,2028305,37,1645
174217,171913,1,33,20556,210489,5,102
174216,171913,5,176,273810,950538,16,1035
174215,171913,7,141,77422,6071745,26,1022
174214,171913,7,74,115256,788297,13,1102
174213,171913,10,811,2564819,9027873,75,6931
174212,171913,15,1579,856729,27050738,45,3406
174211,171913,32,4044,5756544,50105979,244,20346
174210,171913,63,4514,11409561,38222738,393,26910
174209,171913,54,1333,2748622,9657744,134,10029
174208,171913,2,0,0,0,0,0
174207,171912,119,14935,22257534,533699422,959,118139
174206,171912,2,0,0,0,0,0
174205,171911,216,14725,18348708,227249548,1016,56604
174204,171911,2,0,0,0,0,0
174203,171910,1,0,0,0,0,0
174202,171910,1,0,0,0,0,0
174201,171910,1,0,0,0,0,0
174200,171910,1,0,0,0,0,0
174199,171910,1,0,0,0,0,0
174198,171910,1,0,0,0,0,0
174197,171910,1,0,0,0,0,0
174196,171910,1,0,0,0,0,0
174195,171910,1,0,0,0,0,0
174194,171910,1,0,0,0,0,0
174193,171910,1,0,0,0,0,0
174192,171910,1,0,0,0,0,0
174191,171910,1,0,0,0,0,0
174190,171910,1,0,0,0,0,0
174189,171910,1,0,0,0,0,0
174188,171910,1,0,0,0,0,0
174187,171910,1,0,0,0,0,0
174186,171910,1,0,0,0,0,0
174185,171910,1,0,0,0,0,0
174184,171910,1,0,0,0,0,0
174183,171910,1,0,0,0,0,0
174182,171910,1,0,0,0,0,0
174181,171910,1,0,0,0,0,0
174180,171910,1,0,0,0,0,0
174179,171910,1,0,0,0,0,0
174178,171910,1,0,0,0,0,0
174177,171910,2,0,0,0,0,0
174176,171910,1,0,0,0,0,0
174175,171910,1,0,0,0,0,0
174174,171910,1,0,0,0,0,0
174173,171910,1,0,0,0,0,0
174172,171910,1,0,0,0,0,0
174171,171910,1,0,0,0,0,0
174170,171910,1,0,0,0,0,0
174169,171910,3,0,0,0,0,0
174168,171910,1,0,0,0,0,0
174167,171910,1,0,0,0,0,0
174166,171910,1,0,0,0,0,0
174165,171910,1,0,0,0,0,0
174164,171910,2,0,0,0,0,0
174163,171910,1,0,0,0,0,0
174162,171910,1,0,0,0,0,0
174161,171910,1,4,76974,84890,1,105
174160,171910,2,0,0,0,0,0
174159,171910,2,0,0,0,0,0
174158,171910,1,0,0,0,0,0
174157,171910,1,0,0,0,0,0
174156,171910,1,0,0,0,0,0
174155,171910,2,33,20556,210489,5,102
174154,171910,1,33,20556,210489,5,102
174153,171910,4,46,61648,318364,5,102
174152,171910,15,1066,3110995,8251796,80,9322
174151,171910,60,13816,14046843,101920650,3992,132324
174150,171910,2,0,0,0,0,0
174149,171909,1,0,0,0,0,0
174148,171909,1,0,0,0,0,0
174147,171909,1,0,0,0,0,0
174146,171909,1,0,0,0,0,0
174145,171909,1,0,0,0,0,0
174144,171909,1,0,0,0,0,0
174143,171909,1,5,5366,9368,0,0
174142,171909,1,5,5347,36386,1,107
174141,171909,1,0,0,0,0,0
174140,171909,1,5,5347,15054,1,19
174139,171909,2,5,5347,36386,1,107
174138,171909,3,0,0,0,0,0
174137,171909,1,0,0,0,0,0
174136,171909,1,0,0,0,0,0
174135,171909,1,0,0,0,0,0
174134,171909,1,0,0,0,0,0
174133,171909,2,22,22228,131520,4,377
174132,171909,1,5,5347,36386,1,107
174131,171909,2,36,25867,244802,6,209
174130,171909,1,0,0,0,0,0
174129,171909,4,70,58976,598733,11,494
174128,171909,1,33,20556,210489,5,102
174127,171909,2,6,9516,16221,1,1
174126,171909,4,59,40820,5852427,12,621
174125,171909,1,0,0,0,0,0
174124,171909,20,494,527222,7864059,52,1691
174123,171909,185,14248,10460085,231030356,926,54247
174122,171909,2,0,0,0,0,0
174121,171908,1,0,0,0,0,0
174120,171908,1,0,0,0,0,0
174119,171908,1,0,0,0,0,0
174118,171908,2,0,0,0,0,0
174117,171908,1,0,0,0,0,0
174116,171908,1,0,0,0,0,0
174115,171908,1,0,0,0,0,0
174114,171908,1,0,0,0,0,0
174113,171908,1,0,0,0,0,0
174112,171908,1,0,0,0,0,0
174111,171908,1,0,0,0,0,0
174110,171908,1,0,0,0,0,0
174109,171908,1,0,0,0,0,0
174108,171908,1,0,0,0,0,0
174107,171908,1,0,0,0,0,0
174106,171908,1,0,0,0,0,0
174105,171908,2,0,0,0,0,0
174104,171908,1,0,0,0,0,0
174103,171908,1,0,0,0,0,0
174102,171908,1,0,0,0,0,0
174101,171908,1,0,0,0,0,0
174100,171908,1,0,0,0,0,0
174099,171908,1,0,0,0,0,0
174098,171908,1,0,0,0,0,0
174097,171908,1,0,0,0,0,0
174096,171908,1,0,0,0,0,0
174095,171908,1,4,76974,84890,1,105
174094,171908,1,0,0,0,0,0
174093,171908,2,0,0,0,0,0
174092,171908,4,0,0,0,0,0
174091,171908,1,0,0,0,0,0
174090,171908,1,0,0,0,0,0
174089,171908,2,0,0,0,0,0
174088,171908,1,0,0,0,0,0
174087,171908,2,0,0,0,0,0
174086,171908,1,0,0,0,0,0
174085,171908,2,0,0,0,0,0
174084,171908,2,0,0,0,0,0
174083,171908,2,0,0,0,0,0
174082,171908,2,0,0,0,0,0
174081,171908,1,0,0,0,0,0
174080,171908,1,0,0,0,0,0
174079,171908,1,0,0,0,0,0
174078,171908,1,0,0,0,0,0
174077,171908,2,0,0,0,0,0
174076,171908,1,0,0,0,0,0
174075,171908,2,0,0,0,0,0
174074,171908,1,0,0,0,0,0
174073,171908,1,0,0,0,0,0
174072,171908,1,0,0,0,0,0
174071,171908,1,0,0,0,0,0
174070,171908,1,0,0,0,0,0
174069,171908,1,5,5347,36386,1,107
174068,171908,2,0,0,0,0,0
174067,171908,2,0,0,0,0,0
174066,171908,1,17,5889,65405,7,105
174065,171908,4,727,3147500,12576353,18,4262
174064,171908,2,36,25867,244802,6,209
174063,171908,1,5,5347,36386,1,107
174062,171908,1,0,0,0,0,0
174061,171908,4,71,46478,430346,10,204
174060,171908,5,237,420061,1396602,20,1634
174059,171908,4,65,71973,651658,9,1415
